"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"61276295","2024-05-27T02:08:51.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"10033",,,,,"ST NICHOLAS AVENUE","WEST 178 STREET","INTERSECTION","MANHATTAN",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-05-27T02:08:51.000","12 MANHATTAN",,"MANHATTAN","1002186","247999","UNKNOWN","Unspecified","MANHATTAN",,,,,,,,"40.84735682050765","-73.93517137747149","
,  
(40.84735682050765, -73.93517137747149)"
"61279486","2024-05-27T01:27:34.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11373","QUEENS BOULEVARD","QUEENS BOULEVARD","74 STREET","76 STREET",,,"BLOCKFACE","QUEENS",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-05-27T01:27:34.000","04 QUEENS",,"QUEENS",,,"UNKNOWN","Unspecified","QUEENS",,,,,,,,,,
"61279487","2024-05-27T01:15:07.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11373","WOODHAVEN BOULEVARD","WOODHAVEN BOULEVARD","60 DRIVE","ELIOT AVENUE",,,"BLOCKFACE","QUEENS",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-05-27T01:15:07.000","06 QUEENS",,"QUEENS",,,"UNKNOWN","Unspecified","QUEENS",,,,,,,,,,
"61278423","2024-05-27T01:01:33.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11237",,,,,"HALSEY STREET","WYCKOFF AVENUE","INTERSECTION","BROOKLYN",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-05-27T01:01:33.000","04 BROOKLYN",,"BROOKLYN","1010592","192906","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.69611997550678","-73.90500435118646","
,  
(40.69611997550678, -73.90500435118646)"
"61272587","2024-05-27T00:54:00.000",,"DOT","Department of Transportation","Street Light Condition","Street Light Out",,"10465","1530 MACDONOUGH PLACE","MACDONOUGH PLACE","BRUCKNER BLVD","MIDDLETOWN RD",,,"ADDRESS","BRONX",,,"Open",,,,"10 BRONX","2054110210","BRONX","1032656","247185","UNKNOWN","Unspecified","BRONX",,,,,,,,"40.84500816813156","-73.8250454222872","
,  
(40.84500816813156, -73.8250454222872)"
"61279591","2024-05-27T00:51:15.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11236","10318 AVENUE K","AVENUE K","EAST  103 STREET","EAST  104 STREET","EAST  103 STREET","EAST  104 STREET","ADDRESS","BROOKLYN","AVENUE K",,"In Progress",,,"2024-05-27T01:33:29.000","18 BROOKLYN","3082490041","BROOKLYN","1014141","173707","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.643411775823665","-73.89229093996875","
,  
(40.643411775823665, -73.89229093996875)"
"61278719","2024-05-27T00:51:14.000",,"DSNY","Department of Sanitation","Commercial Disposal Complaint","Waste Disposal","Retail Store","11216","NOSTRAND AVENUE","NOSTRAND AVENUE","NOSTRAND AVENUE","PACIFIC STREET","NOSTRAND AVENUE","PACIFIC STREET","INTERSECTION",,,,"In Progress",,,,"08 BROOKLYN",,"BROOKLYN","998183","186167","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.67765120434446","-73.94976814040464","
,  
(40.67765120434446, -73.94976814040464)"
"61277512","2024-05-27T00:50:45.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","10027","362 WEST  127 STREET","WEST  127 STREET","ST NICHOLAS TERRACE","CONVENT AVENUE","ST NICHOLAS TERRACE","CONVENT AVENUE","ADDRESS","NEW YORK","WEST  127 STREET",,"In Progress",,,"2024-05-27T01:00:53.000","09 MANHATTAN","1019537504","MANHATTAN","997435","235247","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.812364611331716","-73.95236864734623","
,  
(40.812364611331716, -73.95236864734623)"
"61278537","2024-05-27T00:50:29.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11206","153 MANHATTAN AVENUE","MANHATTAN AVENUE","MESEROLE STREET","SCHOLES STREET","MESEROLE STREET","SCHOLES STREET","ADDRESS","BROOKLYN","MANHATTAN AVENUE",,"In Progress",,,"2024-05-27T01:49:42.000","01 BROOKLYN","3030427501","BROOKLYN","999479","197309","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.70823127714122","-73.94507055672965","
,  
(40.70823127714122, -73.94507055672965)"
"61275412","2024-05-27T00:50:20.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10040","4469 BROADWAY","BROADWAY","FAIRVIEW AVENUE","WEST  192 STREET","FAIRVIEW AVENUE","WEST  192 STREET","ADDRESS","NEW YORK","BROADWAY",,"In Progress",,,"2024-05-27T01:04:45.000","12 MANHATTAN","1021800513","MANHATTAN","1002992","251683","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.85746662921292","-73.93224783980567","
,  
(40.85746662921292, -73.93224783980567)"
