unique_key,created_date,agency,agency_name,complaint_type,descriptor,borough
61276295,2024-05-27T02:08:51.000,DOT,Department of Transportation,Street Condition,Pothole,MANHATTAN
61279486,2024-05-27T01:27:34.000,DOT,Department of Transportation,Street Condition,Pothole,QUEENS
61279487,2024-05-27T01:15:07.000,DOT,Department of Transportation,Street Condition,Pothole,QUEENS
61278423,2024-05-27T01:01:33.000,DOT,Department of Transportation,Street Condition,Pothole,BROOKLYN
61272587,2024-05-27T00:54:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,BRONX
61279591,2024-05-27T00:51:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,BROOKLYN
61278719,2024-05-27T00:51:14.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Waste Disposal,BROOKLYN
61277512,2024-05-27T00:50:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,MANHATTAN
61278537,2024-05-27T00:50:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,BROOKLYN
61275412,2024-05-27T00:50:20.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,MANHATTAN
